Laufende Nummer;Bildnummer;Sammlungsbereich;Hauptgruppe;Inventar-Nr.;OBJEKTGRUPPE_Objektbezeichnung;OBJEKTGRUPPE_Objektbezeichnung_Pfad im Thesaurus (autom.);Beschreibung des Gegenstandes;Abgebildete Institution;Abgebildeter Ort;HERSTELLUNG_KÜNSTLER/HERSTELLER_Typ (Person|Werkstatt);HERSTELLUNG_KÜNSTLER/HERSTELLER_Name;HERSTELLUNG_KÜNSTLER/HERSTELLER_Rolle;Material;Alte Inv.-Nr.(MfGSL);Rapport-Nr.;Stückzahl;EINLIEFERUNG_Schlagwort;Schlagwort-Gruppe_Schlagwort;HERSTELLUNG_DATIERUNG_Datierung verbal;HERSTELLUNG_DATIERUNG_Datierung Midas (autom.);HERSTELLUNG_DATIERUNG_Datierung Anfang (autom.);HERSTELLUNG_DATIERUNG_Datierung Ende (autom.);Technik;Maße;Abgebildeter Gegenstand;Alte Inv.-Nr.(GDM);Abgebildetes Ereignis;Erwähntes Ereignis;Objekttitel;HERSTELLUNG_Herstellungsort;Bearbeiter;Abgebildete Person;Dargestellte Zeit;Erwähnte Institution;Untergruppe;Weitere Inventar-Nr.;Erwähnte Person;ZUSATZMEDIEN_Medienart;ZUSATZMEDIEN_Ablage;ZUSATZMEDIEN_DATEINAME;Kategorie der Darstellung;URL;﻿Archivsignatur;GEOKOORDINATEN_MOTIV
BB046563;BB046563;Fotothek;Negative;F/4014/2005;Negativ;;"Brühl; Straßenansicht, rechts Teilansicht Geschäftshaus Lomer, Rauchwaren; links 'Schwabes Hof'; um 1910.";"Rauchwaren; Lomer und Co.;Schwabes Hof";"Brühl;Brühl 42;Brühl 45";Person;Vogel, Hermann;Fotograf;Glas;1475;Rp.89.27;1;;"Straßenzug;Geschäftshaus";1910 (um);1905/1915;1905;1915;"Negativ;s/w";13x18;;/;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/0/05/Bb046563.jpg;BB046563;POINT (51.3430301 12.3772851)
BB046640;BB046640;Fotothek;Negative;F/4172/2005;Negativ;;"Promenadenanlagen, Schwanenteich im Winter; u, 1905.";;Schwanenteich;Person;Vogel, Hermann;Fotograf;Glas;1890;Rp.89.27;1;;"Promenadenanlagen;stehendes Gewässer;Parkanlage";1905 (um);1900/1910;1900;1910;"Negativ;s/w";13x18;;;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/6/68/bb046640.jpg;BB046640;POINT (51.3417341 12.3818237389416)
BB046381;BB046381;Fotothek;Negative;F/3758/2005;Negativ;;"Pleißelandschaft mit Pfahlbauten im Leipziger Westen; um 1910.";;Pleiße;Person;Vogel, Hermann;Fotograf;"Papier;Film";1221;Rp.89.29;1;;"Pleiße;Wasserbauten;fließendes Gewässer";1910 (um);1905/1915;1905;1915;"Negativ;s/w";18x13;Pfahlbauten;;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/8/85/Bb046381.jpg;BB046381;POINT (51.3104778 12.3522235721168)
BB046393;BB046393;Fotothek;Negative;F/3744/2005;Negativ;;"Fotografie s/w, Petersstraße, rechts 'Central-Hotel', während der Messe; um 1905.";Central-Hotel;Petersstraße;Person;Vogel, Hermann;Fotograf;Glas;1209;Rp.89/1927;1;;"Strassenzug;Messe;Hotel";1905 (um);1900/1910;1900;1910;Negativ;18 x 13 cm;;;Messe;;;Leipzig;;;;;;F 1343;;;;;;https://upload.wikimedia.org/wikipedia/commons/d/d4/Bb046393.jpg;BB046393;POINT (51.3385682 12.3751197)
S0005402;S0005402;Kunst/Kunsthandwerk;Grafik;4451;Lichtdruck;Graphik-Photographie » Druckgraphik » Flachdrucke » Lichtdrucke » Lichtdruck;Johanniskirche;Johanniskirche;;Person;Vogel, Hermann;Fotograf;;;Rp.26/1912;;;;1894;1894/1894;1894;1894;;;;;;;;;;;;;Stadtansichten;;;;;;;https://upload.wikimedia.org/wikipedia/commons/2/22/S0005402.jpg;S0005402;POINT (51.33770945 12.386501176269)
BB046498;BB046498;Fotothek;Negative;F/3895/2005;Negativ;;"Goethestraße, Theaterpassage mit Kunsthandlung Hermann Vogel; um 1905.";Kunsthandlung;"Theaterpassage;Goethestraße 2";Person;Vogel, Hermann;Fotograf;Glas;1361;Rp.89.27;1;;"Passage;Laden";1905 (um);1900/1910;1900;1910;"Negativ;s/w";18x13;;;;;;Leipzig;;;;;;;Vogel, Hermann;;;;;https://upload.wikimedia.org/wikipedia/commons/8/88/Bb046498.jpg;BB046498;POINT (51.3398517 12.3799609)
BB046377;BB046377;Fotothek;Negative;F/3753/2005;Negativ;;Fotografie s/w, Frankfurter Wiesen, Kleinmesse, um 1907.;;Frankfurter Wiesen;Person;Vogel, Hermann;Fotograf;Glas;1217;Rp.89/1929;1;;Messe <Wirtschaft>;1905;1905/1905;1905;1905;"Negativ;s/w";13 x 18 cm;;;Kleinmesse;;;Leipzig;;;;;;;;"Festplatte Dauerausstellung;Bilddatenbank";Cumulus;"bb046377.tif;bb046377_H";;https://upload.wikimedia.org/wikipedia/commons/6/68/bb046377.jpg;BB046377;POINT (51.3389602 12.3434997)
BB046555;BB046555;Fotothek;Negative;F/3982/2005;Negativ;;"Markt, Altes Rathaus und Wochenmarkt, links Siegesdenkmal; um 1890.";"Rathaus, Altes;Siegesdenkmal";Markt;Person;Vogel, Hermann;Fotograf;Glas;1464b;Rp.89.27;1;;"Platz;Rathaus;Denkmal";1890 (um);1885/1895;1885;1895;"Negativ;s/w";13x18;;/;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/6/68/bb046555.jpg;BB046555;POINT (51.34057855 12.3746931268184)
BB046567;BB046567;Fotothek;Negative;F/4145/2005;Negativ;;"Augustusplatz, Paulinerkirche, Café Francais, Geschäftshaus Röper, Hintergrund Turm Nikolaikirche; um 1890.";"Nikolaikirche;Konfektionshaus; Röper;Pauliner-Kirche";"Augustusplatz;Nikolaikirchhof";Person;Vogel, Hermann;Fotograf;Glas;1476b;Rp.89.27;1;;"Kirche;Platz;Gaststätte;Geschäftshaus";1890 (um);1885/1895;1885;1895;"Negativ;s/w";13x18;;;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/b/b4/Bb046567.jpg;BB046567;POINT (51.33904925 12.3792024116213)
BB046639;BB046639;Fotothek;Negative;F/4160/2005;Negativ;;Mühlgraben, Pfahlbaurestaurant 'Wassergott', um 1905.;Restaurant 'Wassergott';;Person;Vogel, Hermann;Fotograf;Glas;1879;Rp.89.27;1;;"Mühlgraben;Gaststätte;fließendes Gewässer";1905 (um);1900/1910;1900;1910;"Negativ;s/w";13x18;;;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/e/ee/Bb046639.jpg;BB046639;POINT (51.3153183 12.3580214102231)
S0009523;S0009523;Fotothek;Positive;4317;Fotografie;Graphik-Photographie » Photographie » Fotografie;"Johanniskirche;Blick nach dem Altar";Johanniskirche;;Person;Vogel, Hermann;Fotograf;Fotopapier;;Rp.43/23;;;;;;;;;16,5 x 23 cm;Altar;;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/1/12/S0009523.jpg;S0009523;POINT (51.33770945 12.386501176269)
BB045313;BB045313;Fotothek;Negative;F/6638/2005;Negativ;;"Universitätsstraße Nr.10, Geschäftshaus; um 1895.";Geschäftshaus;Universitätsstraße 10;Person;Vogel, Hermann;Fotograf;Glas;1842;Rp.89.27;1;;Geschäftshaus;1895 (um);1890/1900;1890;1900;"Negativ;s/w";18x24;;;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/6/68/bb045313.jpg;BB045313;POINT (51.3396259 12.3778987)
BB045652;BB045652;Fotothek;Negative;F/6631/2005;Fotografie;Graphik-Photographie » Photographie » Fotografie;"Augustusplatz; Pauliner-Kirche; um 1900.";Pauliner-Kirche;Augustusplatz;Person;Vogel, Hermann;Fotograf;Glas;1835;Rp.89.27;1;;Kirche;1900 (um);1895/1905;1895;1905;"Negativ;s/w";24x18;;;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/6/68/bb045652.jpg;BB045652;POINT (51.33904925 12.3792024116213)
BB045333;BB045333;Fotothek;Negative;F/6478/2005;Negativ;;"Augustusplatz Nr.1, Geschäftshaus Gebr. Becker; um 1900.";Geschäftshaus Gebr. Becker;Augustusplatz 1;Person;Vogel, Hermann;Fotograf;Glas;1707;Rp.89.27;1;;"Geschäftshaus;Mehrfamilienhaus";1900 (um);1895/1905;1895;1905;"Negativ;s/w";18x24;;;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/6/68/bb045333.jpg;BB045333;POINT (51.3392609 12.3825768)
BB045636;BB045636;Fotothek;Negative;F/6520/2005;Mägde-Brunnen mit Häuserhintergrund.;;"Roßplatz, Mägde-Brunnen, links Hotel Wartburg; um 1910.";Hotel 'Wartburg';"Mägde-Brunnen;Roßplatz 10";Person;Vogel, Hermann;Fotograf;Glas;1772;Rp.89.27;1;;Hotel;1910 (um);1905/1915;1905;1915;"Negativ;s/w";24x18;;;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/6/68/bb045636.jpg;BB045636;POINT (51.33709305 12.38177575)
BB046582;BB046582;Fotothek;Negative;F/4026/2005;Negativ;;"Charlottenhof mit Gondelteich und Restaurant; um 1900.";;"Friesenstraße;Charlottenhof;Gondelteich";Person;Vogel, Hermann;Fotograf;Glas;1487;Rp.89.27;1;;"Gaststätte;stehendes Gewässer";1900 (um);1895/1905;1895;1905;"Negativ;s/w";13x18;;/;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/b/be/Bb046582.jpg;BB046582;POINT (51.3414616 12.3326065486958)
BB046340;BB046340;Fotothek;Negative;F/3741/2005;Negativ;;"Hauptstraße, Schillerhaus; um 1895.";Schillerhaus;Hauptstraße 18;Person;Vogel, Hermann;Fotograf;Glas;1206;Rp.89.27;1;;"Schillerhaus;Baudenkmal";1885 (um);1880/1890;1880;1890;"Negativ;s/w";13x18;;;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/e/e3/Bb046340.jpg;BB046340;POINT (51.3588085 12.3628396708051)
BB046384;BB046384;Fotothek;Negative;F/3773/2005;Negativ;;"Grassistraße, Mendelssohn-Denkmal, Hintergrund Universitätsbibliothek; um 1910.";Universitätsbibliothek;"Grassistraße;Beethovenstraße 6";Person;Vogel, Hermann;Fotograf;Glas;1226;Rp.89.27;1;;"Musik;Denkmal;Universität";1910 (um);1905/1915;1905;1915;"Negativ;s/w";18x13;Mendelssohn-Denkmal;;;;;;;Mendelssohn Bartholdy, Felix;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/8/8d/Bb046384.jpg;BB046384;POINT (51.3313709 12.3680263)
BB046562;BB046562;Fotothek;Negative;F/4011/2005;Negativ;;"Königsplatz, Warenhaus Ury Gebrüder, Café Royal; 1897.";"Café Royal;Warenhaus; Ury Gebrüder";Königsplatz 15;Person;Vogel, Hermann;Fotograf;Glas;1472;Rp.89.27;1;;"Kaufhaus;Gaststätte";1897;1897/1897;1897;1897;"Negativ;s/w";18x13;;/;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/d/d6/Bb046562.jpg;BB046562;POINT (51.33485705 12.3752344786726)
BB046683;BB046683;Fotothek;Negative;F/4248/2005;Negativ;;"Paulinum, Abbruch der Bibliothek; um 1890.";"Bibliothek;Paulinum";;Person;Vogel, Hermann;Fotograf;Glas;2119;Rp.89.27;1;;"Universität;Kirche;Bildungseinrichtung;Abriß";1890 (um);1885/1895;1885;1895;"Negativ;s/w";13x18;;;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/6/68/bb046683.jpg;BB046683;POINT (51.33904925 12.3792024116213)
BB046546;BB046546;Fotothek;Negative;F/3974/2005;Negativ;;"Obstmarkt; Pleißenburg, von der Harkortstraße aus; Hintergrund Thomaskirche; vor 1895.";Pleißenburg;"Obstmarkt;Harkortstraße";Person;Vogel, Hermann;Fotograf;;1458;Rp.89.27;1;;"Befestigungsanlage;Schloß;Straßenzug";1895 (vor);1885/1895;1885;1895;;13x18;;/;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/6/68/bb046546.jpg;BB046546;POINT (51.3347872 12.3708378)
BB046526;BB046526;Fotothek;Negative;F/3860/2005;Negativ;;"König Johann-Straße Nr. 12, Haus Braune; um 1900.";Haus Braune;König-Johann-Straße 12;Person;Vogel, Hermann;Fotograf;Glas;1331;Rp.89.27;1;;Villa;1900 (um);1895/1905;1895;1905;"Negativ;s/w";13x18;;/;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/f/f5/Bb046526.jpg;BB046526;POINT (51.3442355 12.3613916871859)
BB046388;BB046388;Fotothek;Negative;F/3748/2005;Negativ;;"Brühl, Ecke Plauensche Straße; Café Gesswein, um 1910.";Café Gesswein;Brühl;Person;Vogel, Hermann;Fotograf;Glas;1213;Rp.89.27;1;;Gaststätte;1910 (um);1905/1915;1905;1915;"Negativ;s/w";13x18;;;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/6/63/Bb046388.jpg;BB046388;POINT (51.3431323 12.3748415)
BB046554;BB046554;Fotothek;Negative;F/3983/2005;Negativ;;"Markt, Altes Rathaus und Wochenmarkt, Hintergrund Alte Waage; um 1890.";"Rathaus, Altes;Waage, Alte";Markt;Person;Vogel, Hermann;Fotograf;Glas;1464c;Rp.89.27;1;;"Platz;Rathaus;Geschäftshaus";1890 (um);1885/1895;1885;1895;"Negativ;s/w";18x13;;/;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/c/cf/Bb046554.jpg;BB046554;POINT (51.3407154 12.3744974)
BB046679;BB046679;Fotothek;Negative;F/4395/2005;Negativ;;"Johannisgasse Nr. 21-31, u.a. mit Musikalienhandlung J.D. Wünsch und Wäscherolle Voigtländer; um 1890.";"Wäscherolle Voigtländer;Musikalienhandlung; Wünsch, J.D.";Johannisgasse 21-31;Person;Vogel, Hermann;Fotograf;Glas;2120;Rp.89.27;1;;"Bauensemble;Laden;Gewerbebetrieb";1890 (um);1885/1895;1885;1895;"Negativ;s/w";13x18;;;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/6/68/bb046679.jpg;BB046679;POINT (51.3371194 12.3852347)
S0001732;S0001732;Fotothek;Positive;613/31;Fotografie;Graphik-Photographie » Photographie » Fotografie;Die Baustelle des Neuen Rathauses zwischen Rathausring und Burgplatz. Blick vom Rathausring nach Norden auf den Burgplatz.;"Pleissenburg, Turm;Rathaus, Neues (im Bau);Thomaskirche;Loge Minerva zu den drei Palmen";Rathausring;Werkstatt;Vogel, Hermann;Fotograf;Papier;;Rp.43/1923;;;;1899;1899/1899;1899;1899;;17,5 x 23 cm;Turm;;Bau Neues Rathaus;;;;;;;;;;;;;;Stadtansicht;https://upload.wikimedia.org/wikipedia/commons/c/c2/S0001732.jpg;S0001732;POINT (51.3363806 12.3708831)
